# Coordinate convention: X horizontal, Y horizontal, Z vertical (SWL=0). Tab-separated.
NodeIndex	X_m	Y_m	Z_m
1	4.427136	4.427136	2.706769
2	4.427136	-4.427136	2.706769
3	-4.427136	-4.427136	2.706769
4	-4.427136	4.427136	2.706769
5	4.899884	4.899884	-13.112752
6	4.899884	-4.899884	-13.112752
7	-4.899884	-4.899884	-13.112752
8	-4.899884	4.899884	-13.112752
9	5.423114	5.423114	-30.621546
10	5.423114	-5.423114	-30.621546
11	-5.423114	-5.423114	-30.621546
12	-5.423114	5.423114	-30.621546
13	6.002216	6.002216	-50
14	6.002216	-6.002216	-50
15	-6.002216	-6.002216	-50
16	-6.002216	6.002216	-50
17	4	4	17
18	4	-4	17
19	-4	-4	17
20	-4	4	17
